Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,query,latitude,longitude,school,kindergarten,university,hospital,clinic,supermarket,place_of_worship,bus_station,marketplace
2 - 2 1/2 Storey Terraced,Klang,Kelang,ALAM IMPIAN, JALAN PANGLIMA  AWANG 35/124D,February 2024,Freehold,512.00,sq.m,267,sq.m,    ,"RM1,350,000.00","JALAN PANGLIMA  AWANG 35/124D, Klang, Malaysia",3.0348767,101.5007818,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Semi-Detached,Seberang Perai Tengah,14,TMN SAUJANA INDAH,JALAN SAUJANA 1/6,January 2024,Freehold,227.00,sq.m,131,sq.m,    ,"RM520,000.00","JALAN SAUJANA 1/6, Seberang Perai Tengah, Malaysia",5.3176335,100.4889005,Yes,Yes,No,No,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Semi-Detached,Perlis,Titi Tinggi,TAMAN PADANG BESAR INDAH,JALAN PADANG BESAR INDAH 1,May 2024,Leasehold,244.00,sq.m,208,sq.m,    ,"RM456,000.00","JALAN PADANG BESAR INDAH 1, Perlis, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kuala Kangsar,Saiong,TMN CHANDAN PUTRI FASA 3 (P/L 1985),JLN TMN CHANDAN PUTRI,February 2024,Freehold,287.00,sq.m,82,sq.m,    ,"RM349,000.00","JLN TMN CHANDAN PUTRI, Kuala Kangsar, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Semi-Detached,Seberang Perai Selatan,15,TMN HIJAUAN VALDOR,LORONG HIJAUAN VALDOR 17,May 2024,Freehold,260.00,sq.m,103,sq.m,    ,"RM675,000.00","LORONG HIJAUAN VALDOR 17, Seberang Perai Selatan, Malaysia",5.2501068,100.4836687,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Klang,Kelang,"BDR PUTERI, KLANG",JALAN KERONGSANG 9A,June 2024,Freehold,209.03,sq.m,128,sq.m,    ,"RM850,000.00","JALAN KERONGSANG 9A, Klang, Malaysia",2.9882244,101.4635673,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Seberang Perai Utara,14,TMN SEGEMAL,LRG SEGEMAL 3,August 2024,Freehold,102.20,sq.m,124,sq.m,    ,"RM548,000.00","LRG SEGEMAL 3, Seberang Perai Utara, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Seremban,Setul,TMN TONG SENG, JLN TONG SENG 5,January 2024,Freehold,377.00,sq.m,205,sq.m,    ,"RM775,000.00","JLN TONG SENG 5, Seremban, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,DUTA TROPIKA,LINGKUNGAN DUTAMAS,April 2024,Freehold,223.00,sq.m,333,sq.m,    ,"RM3,330,000.00","LINGKUNGAN DUTAMAS, Kuala Lumpur, Malaysia",3.1696983,101.6657563,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Johor Bahru,Pulai,TMN UNIVERSITI,JLN PENYIARAN 30,October 2024,Freehold,121.00,sq.m,70,sq.m,    ,"RM340,000.00","JLN PENYIARAN 30, Johor Bahru, Malaysia",1.5315485,103.6146308,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kinta,Ipoh Utara,TMN WING ONN,LEBOHRAYA WING ONN 2,October 2024,Leasehold,144.00,sq.m,91,sq.m,    ,"RM323,000.00","LEBOHRAYA WING ONN 2, Kinta, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Seberang Perai Utara,12,TAMAN SEPADU JAYA (D'HALONA PLACE),JLN KUBANG MENDERUNG,November 2024,Freehold,139.00,sq.m,93,sq.m,    ,"RM336,000.00","JLN KUBANG MENDERUNG, Seberang Perai Utara, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Bahagian Sibu,Bahagian Sibu,DESA SATRIA 2,LORONG SATRIA TIMUR 12,March 2024,Freehold,167.40,sq.m,73,sq.m,    ,"RM300,000.00","LORONG SATRIA TIMUR 12, Bahagian Sibu, Malaysia",2.3085718,111.9170036,No,No,No,Yes,No,No,Yes,No,No
Cluster House,Seberang Perai Tengah,15,TAMAN DESA IMPIAN,LORONG DESA IMPIAN,March 2024,Freehold,264.00,sq.m,240,sq.m,    ,"RM925,000.00","LORONG DESA IMPIAN, Seberang Perai Tengah, Malaysia",5.3082816,100.4976106,Yes,Yes,No,No,Yes,No,Yes,No,Yes
Condominium/Apartment,Kuantan,Kuala Kuantan,"VALLEY SUITE APARTMENT, BANDAR IM",   ,August 2024,Leasehold,43.00,sq.m,-,-,11,"RM289,000.00","Kuantan, Malaysia",3.7985637,103.32199,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Johor Bahru,Pulai,TMN PULAI MUTIARA,JLN PULAI MUTIARA 5/2,May 2024,Freehold,109.00,sq.m,168,sq.m,    ,"RM500,000.00","JLN PULAI MUTIARA 5/2, Johor Bahru, Malaysia",1.5270639,103.5774205,Yes,Yes,No,No,Yes,No,Yes,No,No
1 - 1 1/2 Storey Terraced,Larut Matang,Asam Kumbang,TMN TEKAH PERMAI,LORONG PERMAI 27,October 2024,Leasehold,130.00,sq.m,93,sq.m,    ,"RM255,000.00","LORONG PERMAI 27, Larut Matang, Malaysia",4.8685449,100.7114747,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Seremban,Rantau,TMN BUKIT SENAWANG PERDANA,JALAN BUKIT SENAWANG 36,July 2024,Freehold,213.00,sq.m,74,sq.m,    ,"RM155,000.00","JALAN BUKIT SENAWANG 36, Seremban, Malaysia",2.6887319,101.9707512,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Pontian,Jeram Batu,LAMAN CITRA,OFF JLN TANJUNG KUPANG,March 2024,Freehold,143.00,sq.m,192,sq.m,    ,"RM650,000.00","OFF JLN TANJUNG KUPANG, Pontian, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kuantan,Kuala Kuantan,P/LOT 2480, LORONG SERI DAMAI AMAN 58,February 2024,Freehold,270.00,sq.m,96,sq.m,    ,"RM367,000.00","LORONG SERI DAMAI AMAN 58, Kuantan, Malaysia",3.7660124,103.2281271,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
Detached,Machang,Labok,KG BANGGOL JUDAH,OFF JLN BANGGOL JUDAH,July 2024,Leasehold,590.00,sq.m,89,sq.m,    ,"RM370,000.00","OFF JLN BANGGOL JUDAH, Machang, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Kota Setar,Bandar Alor Setar,TMN PULASAN,JLN PULASAN 6,April 2024,Freehold,121.00,sq.m,138,sq.m,    ,"RM561,000.00","JLN PULASAN 6, Kota Setar, Malaysia",6.0985158,100.3884023,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Low-Cost House,Johor Bahru,Plentong,TMN NORA, JLN BERLIAN 6,March 2024,Freehold,72.00,sq.m,83,sq.m,    ,"RM290,000.00","JLN BERLIAN 6, Johor Bahru, Malaysia",1.586398,103.8212352,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
Detached,Larut Matang,Asam Kumbang,TMN LONG JAAFAR II & III, LORONG LONG JAAFAR 3/9,January 2024,Leasehold,426.00,sq.m,132,sq.m,    ,"RM555,000.00","LORONG LONG JAAFAR 3/9, Larut Matang, Malaysia",4.8483048,100.721194,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Semi-Detached,Petaling,Bukit Raja,BANDAR SETIA ALAM,JLN SETIA IMPIAN U13/5F,August 2024,Freehold,153.00,sq.m,118,sq.m,    ,"RM750,000.00","JLN SETIA IMPIAN U13/5F, Petaling, Malaysia",3.0996253,101.451589,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Klang,Kelang,"BDR BOTANIC, KLANG",JALAN CASSIA 2/KS 6,September 2024,Freehold,267.00,sq.m,135,sq.m,    ,"RM1,100,000.00","JALAN CASSIA 2/KS 6, Klang, Malaysia",2.9849475,101.4466774,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Semi-Detached,Penampang,Penampang,TMN LAMAN HIJAU,JLN LINGZI,April 2024,Leasehold,365.10,sq.m,266,sq.m,    ,"RM2,200,000.00","JLN LINGZI, Penampang, Malaysia",,,No,No,No,No,No,No,No,No,No
Detached,Kinta,Ulu Kinta,"VILLA IDAMAN TANAH HITAM, CHEMOR",JALAN ULU CHEMOR,May 2024,Leasehold,242.00,sq.m,119,sq.m,    ,"RM376,000.00","JALAN ULU CHEMOR, Kinta, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost House,Kulim,Bandar Kulim,TMN KENARI FASA 1,LORONG KENARI 12/3A,August 2024,Freehold,273.00,sq.m,65,sq.m,    ,"RM410,000.00","LORONG KENARI 12/3A, Kulim, Malaysia",5.3632802,100.5749473,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Flat,Timur Laut,Jelutong,SINAR BUKIT DUMBAR,   ,September 2024,Freehold,65.00,sq.m,-,-,23,"RM300,000.00","Timur Laut, Malaysia",5.4103136,100.2870311,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost Flat,Kuala Lumpur,Mukim Kuala Lumpur,TMN PERTAMA,   ,February 2024,Leasehold,51.00,sq.m,-,-,2,"RM230,000.00","Kuala Lumpur, Malaysia",3.1526589,101.7022205,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Detached,Segamat,Buloh Kasap,TAMAN YAYASAN FASA 5C, TAMAN YAYASAN FASA 5D,January 2024,Leasehold,445.00,sq.m,147,sq.m,    ,"RM488,000.00","TAMAN YAYASAN FASA 5D, Segamat, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Semi-Detached,Kuantan,Sungai Karang,PT22769 - PT22782 SEBERANG BALOK FASA 4,LORONG SEBERANG BALOK,August 2024,Freehold,289.00,sq.m,110,sq.m,    ,"RM406,000.00","LORONG SEBERANG BALOK, Kuantan, Malaysia",3.9585521,103.3891703,Yes,No,No,No,No,No,Yes,Yes,No
2 - 2 1/2 Storey Terraced,Kulai,Senai,TMN SCIENTEX SENAI,JLN SCIENTEX JAYA 26,February 2024,Freehold,100.00,sq.m,131,sq.m,    ,"RM450,000.00","JLN SCIENTEX JAYA 26, Kulai, Malaysia",1.6313805,103.6824287,Yes,No,No,Yes,Yes,No,Yes,No,No
Flat,Timur Laut,13,TANJONG COURT,   ,April 2024,Freehold,73.00,sq.m,-,-,4,"RM260,000.00","Timur Laut, Malaysia",5.4103136,100.2870311,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost House,Alor Gajah,Pdg Sebang,TMN SEBANG GEMILANG (R.A.PDG SEBANG),JLN SEBANG GEMILANG 16,June 2024,Leasehold,102.00,sq.m,69,sq.m,    ,"RM150,000.00","JLN SEBANG GEMILANG 16, Alor Gajah, Malaysia",,,No,No,No,No,No,No,No,No,No
Condominium/Apartment,Johor Bahru,Tebrau,PANGSAPURI LAGUN,   ,October 2024,Freehold,80.00,sq.m,-,-,16,"RM360,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Semi-Detached,Seremban,Bandar Seremban Utama,GREEN STREET HOMES @SEREMBAN 2,JLN S2A16,January 2024,Freehold,278.00,sq.m,94,sq.m,    ,"RM520,000.00","JLN S2A16, Seremban, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Semi-Detached,Hilir Perak,Durian Sebatang,TMN DESA MAHKOTA,JALAN DESA MAHKOTA 1,August 2024,Freehold,518.00,sq.m,135,sq.m,    ,"RM580,000.00","JALAN DESA MAHKOTA 1, Hilir Perak, Malaysia",3.9842061,101.0083869,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
Detached,Dungun,Sura,SURA/SURA HUJUNG/SURA GATE/SURA JETTY,OFF JLN PANTAI (TD 18),August 2024,Freehold,461.00,sq.m,115,sq.m,    ,"RM333,000.00","OFF JLN PANTAI (TD 18), Dungun, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Seremban,Labu,IRAMA SENDAYAN 2C,OFF JLN FELDA SENDAYAN,March 2024,Freehold,130.00,sq.m,123,sq.m,    ,"RM585,000.00","OFF JLN FELDA SENDAYAN, Seremban, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Semi-Detached,Seremban,Setul,TMN MANTIN PUTRA, JLN MANTIN PUTRA 7,January 2024,Freehold,293.00,sq.m,154,sq.m,    ,"RM495,000.00","JLN MANTIN PUTRA 7, Seremban, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Gombak,Rawang,TAMAN BUKIT RAHMAN PUTRA, JALAN BRP 7/1F,January 2024,Freehold,130.00,sq.m,145,sq.m,    ,"RM770,000.00","JALAN BRP 7/1F, Gombak, Malaysia",3.2308135,101.5537023,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Terraced,Kuantan,Beserah,BESERAH,LRG. TMN BESERAH 11,November 2024,Freehold,130.00,sq.m,82,sq.m,    ,"RM200,000.00","LRG. TMN BESERAH 11, Kuantan, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Johor Bahru,Pulai,TMN MUTIARA RINI, JLN ABADI 11,January 2024,Leasehold,130.00,sq.m,147,sq.m,    ,"RM750,000.00","JLN ABADI 11, Johor Bahru, Malaysia",1.4705274,103.7720859,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost Flat,Bahagian Kuching,Bahagian Kuching,TAMAN SRI JAYA (RPR BATU 9),   ,November 2024,Leasehold,45.98,sq.m,-,-,2,"RM70,000.00","Bahagian Kuching, Malaysia",1.5328561,110.0454453,No,No,No,No,No,No,Yes,No,No
1 - 1 1/2 Storey Terraced,Bentong,Bentong,TMN ANGGERIK HEIGHTS,JLN ANGGERIK HEIGHTS,August 2024,Freehold,130.00,sq.m,113,sq.m,    ,"RM338,000.00","JLN ANGGERIK HEIGHTS, Bentong, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Port Dickson,Linggi,TMN DESA PD,JALAN DESA PD 8,April 2024,Freehold,121.00,sq.m,68,sq.m,    ,"RM223,000.00","JALAN DESA PD 8, Port Dickson, Malaysia",2.4981674,101.8436027,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Terraced,Jempol,Pekan Bahau,TMN DESA PUTERI,JLN PUTERI 30 OFF JLN BAHAU/RO,January 2024,Freehold,133.00,sq.m,86,sq.m,    ,"RM310,000.00","JLN PUTERI 30 OFF JLN BAHAU/RO, Jempol, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Sabak Bernam,Pekan Sabak,TMN SABAK JAYA,JALAN MUTIARA,November 2024,Freehold,149.00,sq.m,72,sq.m,    ,"RM300,000.00","JALAN MUTIARA, Sabak Bernam, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Johor Bahru,Plentong,TMN CAHAYA MASAI,JLN BERLIAN 25,June 2024,Leasehold,268.00,sq.m,72,sq.m,    ,"RM420,000.00","JLN BERLIAN 25, Johor Bahru, Malaysia",1.5040091,103.9310135,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Semi-Detached,Seremban,Ampangan,TMN BANDAR SENAWANG,D VENEA RESIDENCE 3,July 2024,Freehold,148.60,sq.m,124,sq.m,    ,"RM685,000.00","D VENEA RESIDENCE 3, Seremban, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Melaka Tengah,Tg Minyak,TMN SERI TG MINYAK(PEC.LOT3684),JALAN STM 2,March 2024,Leasehold,121.00,sq.m,114,sq.m,    ,"RM280,000.00","JALAN STM 2, Melaka Tengah, Malaysia",2.2584201,102.1989061,Yes,Yes,No,No,Yes,No,Yes,No,Yes
Low-Cost Flat,Johor Bahru,Bandar Johor Bahru,LARKIN PERDANA,   ,February 2024,Leasehold,56.00,sq.m,-,-,1,"RM208,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Hulu Langat,Bandar Baru Bangi,SEK 3 BDR BARU BANGI,JALAN 3/58,March 2024,Leasehold,130.00,sq.m,123,sq.m,    ,"RM499,000.00","JALAN 3/58, Hulu Langat, Malaysia",2.9393168,101.7785237,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Sandakan,Sandakan,TMN FAJAR,BT 7 JLN AIRPORT,March 2024,Leasehold,323.20,sq.m,155,sq.m,    ,"RM400,000.00","BT 7 JLN AIRPORT, Sandakan, Malaysia",5.8888839,118.0576476,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Kuala Muda,Bandar Sungai Petani,BANDAR PUTERI HILLPARK,JLN BKT PUTERI 1/5B,July 2024,Freehold,194.00,sq.m,87,sq.m,    ,"RM350,000.00","JLN BKT PUTERI 1/5B, Kuala Muda, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost House,Klang,Kelang,"TMN SETIA, JLN. JOHAN SETIA",SOLOK SETIA 2C,August 2024,Leasehold,110.00,sq.m,55,sq.m,    ,"RM323,000.00","SOLOK SETIA 2C, Klang, Malaysia",3.1324837,101.3936224,Yes,No,No,No,Yes,No,Yes,No,Yes
Low-Cost House,Seberang Perai Selatan,7,TMN HELANG JAYA,PINTAS PIPIT 11,June 2024,Leasehold,62.00,sq.m,70,sq.m,    ,"RM200,000.00","PINTAS PIPIT 11, Seberang Perai Selatan, Malaysia",5.1645398,100.4890236,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes
Low-Cost House,Petaling,Bandar Shah Alam,SEK. 24 SHAH ALAM, JLN PERIA TIGA 24/14C,March 2024,Leasehold,110.00,sq.m,55,sq.m,    ,"RM335,000.00","JLN PERIA TIGA 24/14C, Petaling, Malaysia",3.0395177,101.5220299,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Petaling,Pekan Baru Sg Buluh,PALM SPRING - SEK.13 KOTA DAMANSARA,   ,July 2024,Leasehold,85.00,sq.m,-,-,22,"RM490,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Detached,Kinta,Ulu Kinta,KG BARU CKT KINDING,KG BARU CHANGKAT KINDING,March 2024,Leasehold,122.00,sq.m,111,sq.m,    ,"RM28,000.00","KG BARU CHANGKAT KINDING, Kinta, Malaysia",4.6992959,101.1509101,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes
Condominium/Apartment,Sepang,Pekan Bukit Bisa,GEMS RESIDENCES (IOI RESORT),   ,April 2024,Freehold,88.00,sq.m,-,-,5,"RM708,000.00","Sepang, Malaysia",2.8008619,101.7094012,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Hulu Langat,Semenyih,SERENE HEIGHTS,JLN SERENE 11/2,March 2024,Freehold,130.00,sq.m,130,sq.m,    ,"RM702,000.00","JLN SERENE 11/2, Hulu Langat, Malaysia",2.9252008,101.8145013,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Semi-Detached,Melaka Tengah,Bdr Melaka,JALAN ONG KIM WEE,JALAN HANG TUAH,June 2024,Freehold,188.59,sq.m,161,sq.m,    ,"RM660,000.00","JALAN HANG TUAH, Melaka Tengah, Malaysia",2.2059847,102.2453063,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Johor Bahru,Plentong,BANDAR LAYANGKASA,OFF JALAN WAU KIKIK,July 2024,Freehold,130.06,sq.m,165,sq.m,    ,"RM483,000.00","OFF JALAN WAU KIKIK, Johor Bahru, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kemaman,Kertih,SEDC KERTIH,(TK89) JALAN CUKAI-DUNGUN,May 2024,Leasehold,227.00,sq.m,74,sq.m,    ,"RM260,000.00","(TK89) JALAN CUKAI-DUNGUN, Kemaman, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost Flat,Gombak,Batu,SELAYANG HEIGHTS,   ,April 2024,Leasehold,60.00,sq.m,-,-,3,"RM153,000.00","Gombak, Malaysia",3.3,101.7,Yes,No,No,Yes,No,No,Yes,Yes,No
1 - 1 1/2 Storey Terraced,Kuantan,Kuala Kuantan,TAMAN DESA RANGIN INDAH (P/LOT 28974),LORONG RANGIN PERDANA 37,July 2024,Freehold,169.00,sq.m,84,sq.m,    ,"RM280,000.00","LORONG RANGIN PERDANA 37, Kuantan, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Semi-Detached,Tampin,Gemencheh,TAMAN KASTURI (PEC. LOT 10940),JALAN KASTURI,May 2024,Freehold,252.62,sq.m,98,sq.m,    ,"RM390,000.00","JALAN KASTURI, Tampin, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Petaling,Petaling,BK 2 - PERUMAHAN KINRARA,JLN BK 2/12B,November 2024,Freehold,130.06,sq.m,116,sq.m,    ,"RM700,000.00","JLN BK 2/12B, Petaling, Malaysia",3.0350052,101.6452073,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Condominium/Apartment,Johor Bahru,Tebrau,TMN DESA TEBRAU,   ,July 2024,Freehold,135.00,sq.m,-,-,9,"RM370,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Detached,Petaling,Bandar Petaling Jaya,SEK. 12 PETALING JAYA,LRG UTARA,March 2024,Leasehold,"1,381.42",sq.m,885,sq.m,    ,"RM3,300,000.00","LRG UTARA, Petaling, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Jasin,Ayer Panas,SCIENTEX JASIN MUTIARA,JLN SJM,June 2024,Freehold,109.00,sq.m,107,sq.m,    ,"RM289,000.00","JLN SJM, Jasin, Malaysia",,,No,No,No,No,No,No,No,No,No
1 - 1 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,KEPONG BARU,LORONG BIDARA 1 (JLN 53),July 2024,Freehold,132.00,sq.m,87,sq.m,    ,"RM680,000.00","LORONG BIDARA 1 (JLN 53), Kuala Lumpur, Malaysia",,,No,No,No,No,No,No,No,No,No
2 - 2 1/2 Storey Terraced,Melaka Tengah,Ayer Molek,TAMAN MOLEK RESIDEN,MOLEK RESIDENCE,August 2024,Freehold,130.00,sq.m,177,sq.m,    ,"RM450,000.00","MOLEK RESIDENCE, Melaka Tengah, Malaysia",2.2313542,102.3410528,Yes,Yes,No,No,Yes,No,Yes,No,No
Condominium/Apartment,Petaling,Pekan Kinrara,P/PURI KENANGA - TMN KINRARA,   ,March 2024,Leasehold,72.00,sq.m,-,-,G,"RM210,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Gombak,Bandar Selayang,TAMAN SRI GOMBAK,JALAN SG 9/11,May 2024,Freehold,200.00,sq.m,124,sq.m,    ,"RM833,000.00","JALAN SG 9/11, Gombak, Malaysia",3.261865,101.6759636,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Hulu Selangor,Serendah,BUKIT SENTOSA,JALAN KEMBOJA 5A/2,February 2024,Freehold,130.00,sq.m,68,sq.m,    ,"RM256,000.00","JALAN KEMBOJA 5A/2, Hulu Selangor, Malaysia",3.4157066,101.5971751,Yes,No,No,No,Yes,No,Yes,Yes,No
1 - 1 1/2 Storey Terraced,Kinta,Ulu Kinta,BERCHAM NOBEL RESIDENCES,JALAN BERCHAM,July 2024,Freehold,236.60,sq.m,93,sq.m,    ,"RM413,000.00","JALAN BERCHAM, Kinta, Malaysia",4.6394818,101.1282233,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Semi-Detached,Setiu,Caluk,PENARIK, OFF JLN MERANG - PENARIK (PL:70971),March 2024,Freehold,287.00,sq.m,89,sq.m,    ,"RM258,000.00","OFF JLN MERANG - PENARIK (PL:70971), Setiu, Malaysia",,,No,No,No,No,No,No,No,No,No
Low-Cost House,Johor Bahru,Tebrau,TMN DAHLIA (DEWAN JAYA),JLN DAHLIA 33,April 2024,Leasehold,96.62,sq.m,49,sq.m,    ,"RM300,000.00","JLN DAHLIA 33, Johor Bahru, Malaysia",1.5094902,103.6984053,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Kuala Lumpur,Mukim Batu,LAMAN RIMBUNAN,JLN RIMBUNAN MELATI 3,April 2024,Leasehold,246.00,sq.m,199,sq.m,    ,"RM1,880,000.00","JLN RIMBUNAN MELATI 3, Kuala Lumpur, Malaysia",3.220168,101.6486145,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Hulu Langat,Cheras,BDR SG LONG, JLN SL 4/2,January 2024,Freehold,407.65,sq.m,255,sq.m,    ,"RM1,100,000.00","JLN SL 4/2, Hulu Langat, Malaysia",3.0398344,101.7937589,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
2 - 2 1/2 Storey Terraced,Seberang Perai Utara,12,SCIENTEX SUNGAI DUA,JALAN DESA SENA,June 2024,Freehold,86.00,sq.m,99,sq.m,    ,"RM290,000.00","JALAN DESA SENA, Seberang Perai Utara, Malaysia",5.4862695,100.46321,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Melaka Tengah,Bt Berendam,TMN MERDEKA,JALAN M 43,November 2024,Leasehold,143.00,sq.m,78,sq.m,    ,"RM278,000.00","JALAN M 43, Melaka Tengah, Malaysia",,,No,No,No,No,No,No,No,No,No
Detached,Bahagian Kuching,Bahagian Kuching,TAMAN SRI WANGI,LORONG MENGGRIS 1,June 2024,Leasehold,"1,255.00",sq.m,350,sq.m,    ,"RM1,400,000.00","LORONG MENGGRIS 1, Bahagian Kuching, Malaysia",1.5705706,110.3208677,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Petaling,Pekan Kinrara,P/PURI MAYANG-BANDAR KINRARA,   ,November 2024,Freehold,82.00,sq.m,-,-,4,"RM230,000.00","Petaling, Malaysia",3.083333,101.583333,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost House,Kulim,Bandar Lunas,TMN MAKMUR FASA 1, LRG MAKMUR,February 2024,Freehold,130.00,sq.m,59,sq.m,    ,"RM200,000.00","LRG MAKMUR, Kulim, Malaysia",,,No,No,No,No,No,No,No,No,No
