Property Type,District,Mukim,Scheme Name/Area,Road Name,"Month, Year of Transaction Date",Tenure,Land/Parcel Area,Unit,Main Floor Area,Unit        ,Unit Level,Transaction Price  ,query,latitude,longitude,school,kindergarten,university,hospital,clinic,supermarket,place_of_worship,bus_station,marketplace
2 - 2 1/2 Storey Terraced,Kubang Pasu,Bandar Darulaman,TAMAN TUNKU SARINA,JALAN SARINA 4,July 2024,Freehold,133.00,sq.m,153,sq.m,    ,"RM350,000.00","JALAN SARINA 4, Kubang Pasu, Malaysia",6.2537973,100.450538,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Condominium/Apartment,Gombak,Bandar Hulu Kelang,SERI MAYA,   ,September 2024,Freehold,116.00,sq.m,-,-,5,"RM540,000.00","Gombak, Malaysia",3.3,101.7,Yes,No,No,Yes,No,No,Yes,Yes,No
Condominium/Apartment,Klang,Kelang,"PANGSAPURI ASTERIA, BDR PARKLAND",   ,March 2024,Freehold,80.00,sq.m,-,-,6,"RM320,000.00","Klang, Malaysia",3.0448394,101.4447363,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
Condominium/Apartment,Johor Bahru,Bandar Johor Bahru,D'LARKIN RESIDENCE APT.,   ,February 2024,Leasehold,115.00,sq.m,-,-,4,"RM490,000.00","Johor Bahru, Malaysia",1.4581986,103.7649059,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Perak Tengah,Bota,BANDAR UNIVERSITI,JALAN LAKEVILLE 38,July 2024,Leasehold,143.00,sq.m,147,sq.m,    ,"RM310,000.00","JALAN LAKEVILLE 38, Perak Tengah, Malaysia",4.3515808,100.9892253,Yes,No,Yes,Yes,No,No,Yes,Yes,No
1 - 1 1/2 Storey Terraced,Kulai,Kulai,TMN GEMILANG,JLN GEMILANG 3,August 2024,Freehold,143.00,sq.m,91,sq.m,    ,"RM500,000.00","JLN GEMILANG 3, Kulai, Malaysia",1.6514415,103.5889288,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Seberang Perai Tengah,7,TAMAN CAMELLIA,JALAN PERDA BARAT,January 2024,Freehold,117.00,sq.m,157,sq.m,    ,"RM629,000.00","JALAN PERDA BARAT, Seberang Perai Tengah, Malaysia",5.3657639,100.435255,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Gombak,Bandar Kepong,TAMAN EHSAN,JALAN E 5/10,March 2024,Leasehold,298.00,sq.m,108,sq.m,    ,"RM980,000.00","JALAN E 5/10, Gombak, Malaysia",3.2219834,101.6310584,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
1 - 1 1/2 Storey Terraced,Melaka Tengah,Bkt Baru,TMN TASIK UTAMA,JLN TU 43A,July 2024,Leasehold,143.00,sq.m,83,sq.m,    ,"RM283,000.00","JLN TU 43A, Melaka Tengah, Malaysia",2.2805784,102.2807407,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Condominium/Apartment,Kuala Lumpur,Mukim Batu,SRI INTAN APT,   ,August 2024,Freehold,98.00,sq.m,-,-,17,"RM343,000.00","Kuala Lumpur, Malaysia",3.1526589,101.7022205,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Kinta,Ulu Kinta,TMN HALAMAN MERU PERMAI,LINTASAN MERU PERMAI 2,September 2024,Freehold,139.00,sq.m,127,sq.m,    ,"RM300,000.00","LINTASAN MERU PERMAI 2, Kinta, Malaysia",4.6727466,101.0858733,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
2 - 2 1/2 Storey Terraced,Timur Laut,Gelugor,BROWN GARDEN,LINTANG PERMAI 2,May 2024,Freehold,117.00,sq.m,136,sq.m,    ,"RM815,000.00","LINTANG PERMAI 2, Timur Laut, Malaysia",5.3701103,100.3019631,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
Low-Cost Flat,Kulai,Kulai,BDR INDAHPURA,   ,March 2024,Freehold,53.00,sq.m,-,-,4,"RM100,000.00","Kulai, Malaysia",1.6666667,103.6,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
1 - 1 1/2 Storey Terraced,Bahagian Miri,Bahagian Miri,SOUTHLAKE,OFF JALAN KUALA-BARAM PUJUT BYPASS,August 2024,Leasehold,193.40,sq.m,76,sq.m,    ,"RM390,000.00","OFF JALAN KUALA-BARAM PUJUT BYPASS, Bahagian Miri, Malaysia",,,No,No,No,No,No,No,No,No,No
